TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20240605242308,85,4,44,5,0,3,-1,60,0,0,0
20240605242309,85,2,41,-1,0,3,-1,60,0,0,-1
20240605242313,79,4,24,5,1,2,2,0,0,0,0
20240605242349,80,4,33,2,0,5,-1,60,0,0,0
20240605242349,80,2,34,-1,0,6,-1,60,0,0,-1
20240605242365,66,4,34,10,0,2,-1,0,0,0,0
20240606240156,71,4,47,3,0,4,-1,0,0,0,0
20240606240217,65,4,47,9,0,4,-1,0,0,0,0
20240606240217,66,4,48,3,0,5,-1,42,0,0,0
20240606240518,85,4,48,2,0,3,-1,0,0,0,0
20240606240528,80,4,39,2,0,7,-1,60,0,0,0
20240606240653,79,1,39,-1,0,3,-1,0,0,0,-1
20240606240715,67,1,33,-1,0,3,-1,0,0,0,-1
20240606240743,74,4,49,4,0,3,-1,0,0,0,0
20240606240772,85,4,34,7,0,6,-1,0,0,0,0
20240606240806,75,4,43,12,0,2,-1,0,0,0,0
20240606241164,77,3,33,-1,0,3,-1,0,0,0,-1
20240606241164,80,3,34,-1,0,4,-1,60,0,0,-1
20240606241497,85,4,39,6,0,3,-1,60,0,0,0
20240606241640,80,4,33,4,0,3,-1,60,0,0,0
20240606241854,80,4,43,5,0,2,-1,60,0,0,0
20240606242156,80,1,49,-1,0,4,-1,60,0,0,-1
20240606242156,85,1,37,-1,0,5,-1,60,0,0,-1
20240606242252,85,4,47,5,0,5,-1,60,0,0,0
20240606242342,61,4,20,2,1,2,2,0,0,0,42
20240606242361,80,4,33,3,0,4,-1,60,0,0,0
20240606242361,80,4,34,5,0,5,-1,60,0,0,0
20240705240632,85,4,38,4,0,3,-1,60,0,0,0
20240705240944,85,3,34,-1,0,4,-1,60,0,0,-1
20240705240982,80,4,24,5,1,2,2,0,0,0,0
20240705240982,80,4,24,5,1,3,3,0,0,0,0
20240705241019,67,4,24,5,1,2,2,0,0,0,0
20240705241116,85,2,33,-1,0,3,-1,60,0,0,-1
20240705241116,85,2,34,-1,0,4,-1,60,0,0,-1
20240705241244,77,2,48,-1,0,6,-1,0,0,0,-1
20240705241244,50,4,33,2,0,7,-1,0,0,0,0
20240705241290,85,4,24,15,1,2,2,0,0,0,0
20240705241360,71,2,49,-1,0,3,-1,0,0,0,-1
20240705241366,57,1,34,-1,0,4,-1,0,0,0,-1
20240705241404,85,4,44,10,0,3,-1,60,0,0,0
20240705241621,77,4,33,3,0,8,-1,0,0,0,0
20240705241621,79,4,34,3,0,9,-1,0,0,0,0
20240705241698,66,3,33,-1,0,3,-1,0,0,0,-1
20240705241698,85,3,47,-1,0,4,-1,60,0,0,-1
20240705241963,74,4,33,2,0,7,-1,0,0,0,0
20240705242264,85,4,34,6,0,4,-1,60,0,0,0
20240705242264,85,4,33,3,0,5,-1,60,0,0,0
20240705242317,75,2,20,-1,1,2,2,0,0,0,-1
20240705242337,76,3,49,-1,0,3,-1,0,0,0,-1
20240706240036,80,4,38,3,0,2,-1,60,0,0,0
20240706240100,80,1,47,-1,0,4,-1,61,0,0,-1
20240706240188,74,4,47,3,0,6,-1,0,0,0,0
20240706240264,85,4,48,2,0,3,-1,0,0,0,0
20240706240515,71,1,43,-1,0,6,-1,0,0,0,-1
20240706240539,72,4,33,5,0,3,-1,0,0,0,0
20240706240588,69,4,20,5,1,2,2,0,0,0,0
20240706240611,80,4,33,3,0,3,-1,60,0,0,0
20240706240614,85,4,33,10,0,2,-1,60,0,0,0
20240706240668,74,4,38,10,0,4,-1,0,0,0,0
20240706240744,85,4,38,7,0,2,-1,60,0,0,0
20240706240745,73,1,33,-1,0,6,-1,0,0,0,-1
20240706240752,79,4,56,2,0,2,-1,42,0,0,0
20240706240752,61,4,56,2,0,3,-1,42,0,0,0
20240706240753,85,4,24,4,1,2,2,0,0,0,0
20240706240758,80,4,43,3,0,3,-1,60,0,0,0
20240706240758,80,3,20,-1,1,2,2,0,0,0,-1
20240706240787,70,4,20,10,1,2,2,0,0,0,0
20240706240794,80,4,33,2,0,3,-1,60,0,0,0
20240706240794,80,4,34,2,0,4,-1,60,0,0,0
20240706240810,54,3,49,-1,0,3,-1,0,0,0,-1
20240706240810,58,3,20,-1,1,2,2,0,0,0,-1
20240706240817,60,1,49,-1,0,2,-1,0,0,0,-1
20240706240895,85,4,34,2,0,4,-1,60,0,0,0
20240706240895,85,4,43,2,0,5,-1,60,0,0,0
20240706240921,75,2,43,-1,0,2,-1,0,0,0,-1
20240706240974,85,1,24,-1,1,2,2,0,0,0,-1
20240706241043,74,3,33,-1,0,3,-1,0,0,0,-1
20240706241043,72,3,34,-1,0,4,-1,0,0,0,-1
20240706241052,85,4,47,10,0,7,-1,60,0,0,0
20240706241071,77,4,33,8,0,5,-1,0,0,0,0
20240706241075,76,3,43,-1,0,3,-1,0,0,0,-1
20240706241075,70,4,20,15,1,2,2,0,0,0,0
20240706241104,85,3,20,-1,1,2,2,0,0,0,-1
20240706241187,66,4,43,2,0,2,-1,0,0,0,0
20240706241188,74,3,33,-1,0,2,-1,0,0,0,-1
20240706241198,72,4,43,1,0,3,-1,0,0,0,0
20240706241200,85,4,33,2,0,8,-1,60,0,0,0
20240706241251,57,4,33,20,0,2,-1,0,0,0,0
20240706241251,73,4,47,3,0,3,-1,0,0,0,0
20240706241279,85,4,39,6,0,4,-1,60,0,0,0
20240706241288,75,1,43,-1,0,3,-1,0,0,0,-1
20240706241338,85,3,41,-1,0,3,-1,60,0,0,-1
20240706241351,79,4,33,7,0,5,-1,0,0,0,0
20240706241373,85,4,39,3,0,4,-1,60,0,0,0
20240706241373,85,4,40,3,0,5,-1,60,0,0,0
20240706241396,85,4,49,10,0,7,-1,60,0,0,0
20240706241396,85,4,49,10,0,8,-1,60,0,0,0
20240706241396,60,4,26,5,1,6,6,0,0,0,0
20240706241401,72,4,33,20,0,2,-1,0,0,0,0
20240706241405,71,1,20,-1,1,2,2,0,0,0,-1
20240706241452,64,4,44,4,0,3,-1,0,0,0,0
20240706241452,71,4,20,11,1,2,2,0,0,0,0
20240706241461,85,3,37,-1,0,2,-1,60,0,0,-1
20240706241516,80,4,20,10,1,2,2,0,0,0,0
20240706241519,74,4,33,1,0,3,-1,0,0,0,0
20240706241529,73,4,43,5,0,3,-1,0,0,0,0
20240706241533,71,1,20,-1,1,2,2,0,0,0,-1
20240706241545,80,4,47,3,0,2,-1,60,0,0,0
20240706241576,80,1,40,-1,0,3,-1,60,0,0,-1
20240706241584,80,4,24,6,1,2,2,0,0,0,0
20240706241584,80,4,24,6,1,3,3,0,0,0,0
20240706241593,70,4,33,7,0,2,-1,0,0,0,0
20240706241598,85,4,33,8,0,3,-1,60,0,0,0
20240706241608,85,4,34,5,0,2,-1,60,0,0,0
20240706241608,79,4,49,11,0,3,-1,0,0,0,0
20240706241608,65,4,38,2,0,4,-1,0,0,0,0
20240706241623,75,4,20,2,1,2,2,0,0,0,0
20240706241644,85,4,33,5,0,2,-1,60,0,0,0
20240706241693,80,4,33,5,0,2,-1,60,0,0,0
20240706241697,70,1,34,-1,0,4,-1,0,0,0,-1
20240706241699,66,1,44,-1,0,2,-1,0,0,0,-1
20240706241699,68,4,43,1,0,3,-1,0,0,0,0
20240706241882,74,4,25,3,1,2,2,0,0,0,0
20240706241894,85,4,43,5,0,2,-1,60,0,0,0
20240706241898,73,1,39,-1,0,3,-1,0,0,0,-1
20240706241898,72,1,40,-1,0,4,-1,0,0,0,-1
20240706241937,76,4,33,6,0,3,-1,0,0,0,0
20240706242005,63,4,20,2,1,2,2,0,0,0,0
20240706242006,85,4,33,3,0,3,-1,60,0,0,0
20240706242006,80,4,39,3,0,4,-1,60,0,0,0
20240706242131,75,3,43,-1,0,2,-1,0,0,0,-1
20240706242131,80,3,43,-1,0,3,-1,0,0,0,-1
20240706242131,77,3,43,-1,0,4,-1,42,0,0,-1
20240706242131,80,3,43,-1,0,5,-1,0,0,0,-1
20240706242131,80,3,43,-1,0,6,-1,0,0,0,-1
20240706242132,77,3,38,-1,0,3,-1,0,0,0,-1
20240706242145,80,1,43,-1,0,3,-1,60,0,0,-1
20240706242145,77,1,43,-1,0,4,-1,0,0,0,-1
20240706242149,78,1,43,-1,0,3,-1,0,0,0,-1
20240706242149,80,4,20,15,1,2,2,0,0,0,0
20240706242164,85,1,44,-1,0,3,-1,60,0,0,-1
20240706242193,80,2,33,-1,0,2,-1,0,0,0,-1
20240706242233,75,4,43,5,0,3,-1,0,0,0,0
20240706242233,80,2,43,-1,0,4,-1,60,0,0,-1
20240706242251,85,4,34,2,0,4,-1,60,42,0,42
20240706242264,63,4,28,10,1,2,2,0,0,0,0
20240706242271,78,3,49,-1,0,2,-1,0,0,0,-1
20240706242280,85,4,20,3,1,2,2,0,0,0,0
20240706242289,80,2,20,-1,1,2,2,0,0,0,-1
20240706242389,80,2,44,-1,0,3,-1,60,0,0,-1
20240706242389,85,2,44,-1,0,4,-1,60,0,0,-1
20240707240091,75,2,56,-1,0,3,-1,0,0,0,-1
20240707240178,70,4,47,1,0,5,-1,0,0,0,0
20240707240200,85,4,47,2,0,5,-1,60,0,0,0
20240707240746,85,1,41,-1,0,3,-1,60,0,0,-1
20240707240781,74,4,20,3,1,2,2,0,0,0,0
20240707240818,67,1,56,-1,0,3,-1,0,0,0,-1
20240707241161,77,1,38,-1,0,2,-1,0,0,0,-1
20240707241161,69,1,43,-1,0,3,-1,0,0,0,-1
20240707241317,85,4,24,6,1,2,2,0,0,0,0
20240707241601,85,4,47,6,0,3,-1,0,0,0,0
20240707241665,68,4,33,2,0,4,-1,0,0,0,0
20240707241763,76,1,47,-1,0,3,-1,0,0,0,-1
20240707241985,85,4,33,14,0,3,-1,60,0,0,0
20240707242053,78,4,33,17,0,6,-1,0,0,0,0
20240707242053,80,4,34,6,0,7,-1,60,0,0,0
20240707242121,80,3,38,-1,0,2,-1,0,0,0,-1
20240707242160,78,4,33,13,0,3,-1,0,0,0,0
20240707242160,80,4,34,7,0,4,-1,0,0,0,0
20240707242170,85,4,33,2,0,5,-1,0,0,0,0
20240707242210,76,3,33,-1,0,4,-1,0,0,0,-1
20240707242210,80,3,34,-1,0,5,-1,0,0,0,-1
20240707242273,63,4,20,6,1,2,2,0,0,0,0
20240707242298,85,4,33,20,0,2,-1,60,0,0,0
20240805241100,72,4,24,4,1,2,2,0,0,0,0
20240805241175,63,4,38,5,0,3,-1,0,0,0,0
20240805241175,85,4,39,5,0,4,-1,60,0,0,0
20240805241861,85,2,44,-1,0,2,-1,60,0,0,-1
20240805241861,85,1,44,-1,0,3,-1,60,0,0,-1
20240805241861,80,1,44,-1,0,4,-1,60,0,0,-1
20240806240620,85,1,56,-1,0,3,-1,60,0,0,-1
20240806240620,85,1,33,-1,0,4,-1,60,0,0,-1
20240806240765,76,1,33,-1,0,4,-1,0,0,0,-1
20240806240765,78,1,34,-1,0,5,-1,0,0,0,-1
20240806241027,80,4,33,35,0,3,-1,60,0,0,0
20240806241786,79,4,43,2,0,3,-1,0,0,0,0
20240806241786,85,4,43,3,0,4,-1,60,0,0,0
20240806241885,73,4,30,5,1,2,2,0,0,0,0
20240806242166,85,4,20,2,1,2,2,0,0,0,0
20240806242195,80,4,24,10,1,3,3,0,0,0,0
20240806242253,85,2,34,-1,0,3,-1,60,0,0,-1
20240807240279,76,3,47,-1,0,3,-1,0,0,0,-1
20240807240279,80,4,48,5,0,4,-1,60,0,0,0
20240807240525,66,4,49,10,0,3,-1,0,0,0,0
20240807240558,66,4,37,2,0,3,-1,0,0,0,0
20240807240558,85,4,33,4,0,4,-1,60,0,0,0
20240807240560,68,1,43,-1,0,2,-1,0,0,0,-1
20240807240585,85,2,44,-1,0,5,-1,60,0,0,-1
20240807240593,85,2,33,-1,0,2,-1,60,0,0,-1
20240807240608,85,4,33,5,0,4,-1,0,0,0,0
20240807240610,73,1,34,-1,0,5,-1,0,0,0,-1
20240807240654,63,4,43,17,0,2,-1,0,0,0,0
20240807240663,85,1,34,-1,0,3,-1,60,0,0,-1
20240807240666,66,2,24,-1,1,5,5,0,0,0,-1
20240807240707,73,1,34,-1,0,4,-1,0,0,0,-1
20240807240712,85,4,33,3,0,3,-1,60,0,0,0
20240807240755,75,4,43,2,0,3,-1,0,0,0,42
20240807240755,75,4,43,2,0,4,-1,0,0,0,42
20240807240755,75,4,43,2,0,5,-1,0,0,0,42
20240807240755,75,4,43,2,0,6,-1,0,0,0,42
20240807240755,75,4,43,2,0,7,-1,0,0,0,42
20240807240757,85,4,33,4,0,3,-1,60,0,0,0
20240807240757,69,2,43,-1,0,4,-1,0,0,0,-1
20240807240758,76,1,34,-1,0,5,-1,0,0,0,-1
20240807240804,70,4,20,1,1,2,2,0,0,0,0
20240807240817,75,1,44,-1,0,2,-1,0,0,0,-1
20240807240817,70,1,44,-1,0,3,-1,0,0,0,-1
20240807240817,67,4,44,1,0,4,-1,0,0,0,0
20240807240817,60,1,44,-1,0,5,-1,0,0,0,-1
20240807240844,67,4,56,4,0,3,-1,0,0,0,0
20240807240889,46,4,20,2,1,2,2,0,0,0,0
20240807240973,69,4,39,3,0,6,-1,0,0,0,0
20240807240973,68,4,40,3,0,7,-1,0,0,0,0
20240807241006,85,4,33,5,0,7,-1,60,0,0,0
20240807241181,80,3,33,-1,0,3,-1,60,0,0,-1
20240807241181,76,3,41,-1,0,4,-1,0,0,0,-1
20240807241183,85,4,47,5,0,2,-1,60,0,0,0
20240807241183,85,4,48,5,0,3,-1,60,0,0,0
20240807241200,85,4,48,9,0,3,-1,60,0,0,0
20240807241207,80,4,44,3,0,2,-1,61,0,0,0
20240807241211,64,3,28,-1,1,2,2,0,0,0,-1
20240807241263,80,4,24,3,1,3,3,0,0,0,0
20240807241288,80,4,34,4,0,2,-1,60,0,0,0
20240807241292,85,4,33,4,0,3,-1,60,0,0,0
20240807241301,85,1,39,-1,0,4,-1,60,0,0,-1
20240807241355,85,4,33,2,0,3,-1,60,0,0,0
20240807241355,85,4,34,2,0,4,-1,60,0,0,0
20240807241392,80,2,20,-1,1,2,2,0,0,0,-1
20240807241411,85,3,39,-1,0,3,-1,60,0,0,-1
20240807241444,77,1,20,-1,1,2,2,0,0,0,-1
20240807241446,85,4,41,30,0,3,-1,60,0,0,0
20240807241481,85,4,33,7,0,3,-1,60,0,0,0
20240807241542,69,1,34,-1,0,2,-1,0,0,0,-1
20240807241542,67,1,33,-1,0,3,-1,0,0,0,-1
20240807241579,80,4,20,18,1,2,2,0,0,0,0
20240807241580,72,4,20,4,1,2,2,0,0,0,0
20240807241644,68,4,33,3,0,6,-1,0,42,0,42
20240807241644,73,4,34,4,0,7,-1,0,42,0,42
20240807241660,78,3,48,-1,0,3,-1,0,0,0,-1
20240807241666,80,2,33,-1,0,3,-1,60,0,0,-1
20240807241713,56,3,38,-1,0,6,-1,0,0,0,-1
20240807241713,79,4,24,2,1,2,2,0,0,0,0
20240807241837,80,4,47,4,0,3,-1,60,0,0,0
20240807241904,65,4,20,40,1,2,2,0,0,0,0
20240807241940,71,4,43,6,0,3,-1,0,0,0,0
20240807241951,77,4,39,2,0,2,-1,0,0,0,0
20240807241958,85,4,44,13,0,3,-1,60,0,0,0
20240807241963,80,4,43,2,0,4,-1,60,0,0,0
20240807241966,80,4,34,9,0,3,-1,60,0,0,0
20240807241966,80,4,39,2,0,4,-1,60,0,0,0
20240807241978,80,4,56,8,0,2,-1,0,0,0,0
20240807242010,70,3,33,-1,0,5,-1,0,0,0,-1
20240807242010,72,3,34,-1,0,6,-1,0,0,0,-1
20240807242029,75,4,44,8,0,2,-1,0,0,0,0
20240807242029,60,3,44,-1,0,3,-1,0,0,0,-1
20240807242029,65,4,44,2,0,4,-1,0,0,0,0
20240807242029,66,4,37,10,0,5,-1,0,0,0,0
20240807242036,85,4,33,15,0,2,-1,0,0,0,0
20240807242036,22,4,49,18,0,3,-1,0,0,0,0
20240807242060,73,4,20,6,1,2,2,0,0,0,0
20240807242100,85,3,40,-1,0,3,-1,60,0,0,-1
20240807242100,85,1,41,-1,0,4,-1,60,0,0,-1
20240807242173,85,4,26,4,1,6,6,0,0,0,0
20240807242180,69,4,43,3,0,5,-1,0,0,0,0
20240807242207,80,3,20,-1,1,2,2,0,0,0,-1
20240807242215,80,4,34,6,0,2,-1,60,0,0,0
20240807242237,69,4,33,3,0,2,-1,0,0,0,0
20240807242237,65,4,34,3,0,3,-1,0,0,0,0
20240807242323,80,4,44,5,0,5,-1,61,0,0,0
20240807242324,70,4,43,7,0,4,-1,0,0,0,0
20240807242326,79,4,34,2,0,5,-1,0,0,0,0
20240807242326,76,4,33,2,0,6,-1,0,0,0,0
20240807242341,85,2,24,-1,1,2,2,60,0,0,-1
20240807242361,85,3,20,-1,1,2,2,0,0,0,-1
20240807242379,69,2,24,-1,1,2,2,0,0,0,-1
20240808240012,85,4,39,7,0,3,-1,60,0,0,0
20240808240052,69,4,20,5,1,2,2,0,0,0,0
20240808240624,85,1,33,-1,0,2,-1,60,0,0,-1
20240808240624,69,4,34,3,0,3,-1,43,43,0,42
20240808240737,85,4,20,3,1,2,2,0,0,0,0
20240808240778,85,4,41,2,0,3,-1,60,0,0,0
20240808240876,80,1,47,-1,0,4,-1,0,0,0,-1
20240808240884,80,3,38,-1,0,2,-1,0,0,0,-1
20240808240945,85,4,33,3,0,2,-1,60,0,0,0
20240808240952,80,4,47,2,0,7,-1,0,0,0,0
20240808240985,75,1,34,-1,0,2,-1,0,0,0,-1
20240808241020,67,4,43,3,0,2,-1,0,0,0,0
20240808241089,80,4,20,5,1,2,2,0,0,0,0
20240808241508,69,4,33,5,0,4,-1,0,0,0,0
20240808241552,71,4,24,5,1,2,2,0,0,0,0
20240808241567,85,4,34,4,0,3,-1,60,0,0,0
20240808241567,67,1,38,-1,0,4,-1,0,0,0,-1
20240808241704,80,4,41,20,0,4,-1,60,0,0,0
20240808241965,69,3,43,-1,0,2,-1,0,0,0,-1
20240808241986,59,4,33,2,0,3,-1,0,0,0,0
20240808242274,75,4,44,2,0,6,-1,0,0,0,0
20240906240734,65,4,20,39,1,2,2,0,0,0,0
20240906241286,85,2,34,-1,0,3,-1,60,0,0,-1
20240906241286,80,2,33,-1,0,4,-1,60,0,0,-1
20240907240074,76,3,20,-1,1,2,2,0,0,0,-1
20240907240968,75,4,33,2,0,4,-1,0,0,0,0
20240907240968,76,4,34,2,0,5,-1,0,0,0,0
20240907241225,58,1,33,-1,0,3,-1,0,0,0,-1
20240907241280,80,1,33,-1,0,4,-1,60,0,0,-1
20240907241454,78,4,33,5,0,3,-1,0,0,0,0
20240907241497,65,4,33,5,0,3,-1,0,0,0,0
20240907241518,75,4,33,5,0,5,-1,0,0,0,0
20240907241518,75,4,34,5,0,6,-1,0,0,0,0
20240907242066,85,1,33,-1,0,5,-1,60,0,0,-1
20240907242283,70,4,49,2,0,3,-1,0,0,0,0
20240907242369,78,2,47,-1,0,6,-1,0,0,0,-1
20240907242369,79,2,48,-1,0,7,-1,0,0,0,-1
20240908240072,67,1,38,-1,0,3,-1,0,0,0,-1
20240908240139,74,4,48,5,0,3,-1,0,0,0,0
20240908240514,62,1,33,-1,0,3,-1,0,0,0,-1
20240908240526,85,4,33,5,0,3,-1,60,0,0,0
20240908240536,80,3,33,-1,0,2,-1,43,43,0,-1
20240908240561,74,4,44,3,0,2,-1,0,0,0,0
20240908240561,85,2,44,-1,0,3,-1,60,0,0,-1
20240908240561,70,4,44,2,0,4,-1,0,0,0,0
20240908240576,85,1,39,-1,0,4,-1,60,0,0,-1
20240908240617,80,4,39,5,0,3,-1,60,0,0,0
20240908240678,63,4,20,8,1,2,2,0,0,0,0
20240908240710,85,4,33,4,0,2,-1,60,0,0,0
20240908240710,85,3,34,-1,0,3,-1,60,0,0,-1
20240908240723,61,1,34,-1,0,3,-1,0,0,0,-1
20240908240723,61,4,33,2,0,4,-1,0,0,0,0
20240908240744,80,4,33,3,0,5,-1,60,0,0,0
20240908240744,80,4,34,3,0,6,-1,60,0,0,0
20240908240744,78,1,40,-1,0,7,-1,0,0,0,-1
20240908240761,72,3,44,-1,0,3,-1,0,0,0,-1
20240908240787,73,1,33,-1,0,4,-1,0,42,0,-1
20240908240799,55,1,44,-1,0,2,-1,0,0,0,-1
20240908240836,85,4,34,13,0,3,-1,60,0,0,0
20240908240862,80,2,33,-1,0,2,-1,60,0,0,-1
20240908240862,78,2,34,-1,0,3,-1,0,0,0,-1
20240908240863,74,4,34,2,0,6,-1,0,0,0,0
20240908241042,73,4,20,4,1,2,2,0,0,0,0
20240908241070,78,2,33,-1,0,4,-1,0,0,0,-1
20240908241070,79,2,34,-1,0,5,-1,0,0,0,-1
20240908241095,57,4,24,2,1,5,5,0,0,0,43
20240908241114,85,4,24,5,1,2,2,0,0,0,0
20240908241122,29,4,28,1,1,3,3,0,0,0,0
20240908241201,80,4,33,3,0,3,-1,60,0,0,0
20240908241214,80,4,24,10,1,3,3,0,0,0,0
20240908241308,85,4,33,15,0,2,-1,60,0,0,0
20240908241384,69,4,24,5,1,2,2,0,0,0,0
20240908241401,85,1,47,-1,0,3,-1,60,0,0,-1
20240908241415,85,4,48,2,0,3,-1,60,0,0,42
20240908241436,80,4,33,4,0,2,-1,60,0,0,0
20240908241485,85,4,33,6,0,4,-1,60,0,0,0
20240908241491,85,4,44,3,0,2,-1,60,0,0,0
20240908241493,85,4,34,1,0,4,-1,60,0,0,0
20240908241564,85,4,33,2,0,3,-1,60,0,0,0
20240908241684,80,4,34,2,0,2,-1,60,0,0,0
20240908241708,85,4,34,1,0,4,-1,60,0,0,0
20240908241712,65,1,43,-1,0,3,-1,0,0,0,-1
20240908241712,60,1,43,-1,0,4,-1,0,0,0,-1
20240908241712,66,1,43,-1,0,5,-1,0,0,0,-1
20240908241748,80,1,33,-1,0,3,-1,0,0,0,-1
20240908241821,85,4,47,8,0,3,-1,60,0,0,0
20240908241890,80,4,33,2,0,3,-1,60,0,0,0
20240908241949,85,4,33,7,0,3,-1,0,0,0,0
20240908242012,85,4,39,3,0,3,-1,60,0,0,0
20240908242048,85,1,34,-1,0,2,-1,60,0,0,-1
20240908242056,85,4,34,5,0,2,-1,60,0,0,0
20240908242056,85,4,43,8,0,3,-1,60,0,0,0
20240908242059,60,4,33,2,0,7,-1,0,0,0,0
20240908242110,80,2,33,-1,0,3,-1,0,0,0,-1
20240908242219,73,3,20,-1,1,2,2,0,0,0,-1
20240908242229,85,4,34,3,0,3,-1,60,0,0,0
20240909240010,85,4,20,2,1,2,2,60,0,0,0
20240909240536,57,1,39,-1,0,5,-1,0,0,0,-1
20240909240536,65,1,40,-1,0,6,-1,0,0,0,-1
20240909240551,77,4,20,9,1,2,2,0,0,0,0
20240909240558,72,3,33,-1,0,3,-1,0,0,0,-1
20240909240730,71,4,37,5,0,3,-1,0,0,0,0
20240909240742,85,4,24,5,1,2,2,0,0,0,0
20240909240803,85,4,33,20,0,3,-1,60,0,0,0
20240909240862,85,4,41,3,0,2,-1,60,0,0,0
20240909240886,85,4,44,2,0,3,-1,60,0,0,0
20240909240886,85,4,44,2,0,4,-1,60,0,0,0
20240909240916,85,1,40,-1,0,5,-1,60,0,0,-1
20240909240924,69,4,33,2,0,2,-1,0,0,0,0
20240909241043,85,2,33,-1,0,3,-1,60,0,0,-1
20240909241043,85,2,34,-1,0,4,-1,60,0,0,-1
20240909241071,63,4,33,5,0,4,-1,0,0,0,0
20240909241071,80,4,47,10,0,5,-1,60,0,0,0
20240909241112,80,4,20,3,1,2,2,0,0,0,0
20240909241115,77,1,49,-1,0,2,-1,0,0,0,-1
20240909241115,80,1,49,-1,0,3,-1,60,0,0,-1
20240909241115,56,1,43,-1,0,4,-1,0,0,0,-1
20240909241129,68,2,43,-1,0,2,-1,0,0,0,-1
20240909241229,80,4,34,2,0,3,-1,60,0,0,0
20240909241386,76,4,33,5,0,6,-1,0,0,0,0
20240909241466,85,1,44,-1,0,3,-1,60,0,0,-1
20240909241724,78,4,20,1,1,2,2,0,0,0,0
20240909241777,52,3,24,-1,1,2,2,0,0,0,-1
20240909241920,85,3,33,-1,0,3,-1,60,0,0,-1
20240909242182,76,1,43,-1,0,3,-1,0,0,0,-1
20240909242250,80,1,44,-1,0,2,-1,0,0,0,-1
20240909242250,80,1,44,-1,0,3,-1,0,0,0,-1
20240909242250,80,1,44,-1,0,4,-1,0,0,0,-1
20240909242275,75,4,20,5,1,2,2,0,0,0,0
20240909242318,85,4,34,5,0,3,-1,60,0,0,0
20241008240555,85,1,33,-1,0,3,-1,60,0,0,-1
20241008240696,85,4,33,5,0,3,-1,60,0,0,0
20241008240696,80,4,44,3,0,4,-1,0,0,0,0
20241008240703,85,3,47,-1,0,3,-1,60,0,0,-1
20241008240911,66,4,43,15,0,2,-1,0,0,0,0
20241008240963,80,4,33,2,0,5,-1,0,0,0,0
20241008240963,80,4,34,2,0,6,-1,60,0,0,0
20241008240979,85,4,44,4,0,5,-1,60,0,0,0
20241008240979,85,4,44,4,0,6,-1,60,0,0,0
20241008240999,85,4,33,4,0,3,-1,60,0,0,0
20241008241153,69,4,33,4,0,3,-1,0,0,0,0
20241008241153,67,4,34,4,0,4,-1,0,0,0,0
20241008241329,78,1,47,-1,0,6,-1,0,0,0,-1
20241008241347,76,4,39,8,0,3,-1,0,0,0,0
20241008241347,78,4,40,8,0,4,-1,0,0,0,0
20241008241357,85,4,33,7,0,4,-1,0,0,0,0
20241008241409,85,1,43,-1,0,2,-1,60,0,0,-1
20241008241435,85,4,24,4,1,2,2,60,0,0,0
20241008241602,85,4,33,5,0,4,-1,60,0,0,0
20241008241653,80,4,33,3,0,6,-1,60,0,0,0
20241008241653,80,4,34,3,0,7,-1,60,0,0,0
20241008241682,75,1,44,-1,0,3,-1,0,0,0,-1
20241008241689,85,4,47,10,0,5,-1,60,0,0,0
20241008241695,62,4,33,3,0,2,-1,0,0,0,0
20241008241840,75,4,33,15,0,5,-1,0,0,0,0
20241008241976,79,4,33,9,0,4,-1,0,0,0,0
20241008242144,79,1,33,-1,0,4,-1,0,0,0,-1
20241008242144,79,1,34,-1,0,5,-1,0,0,0,-1
20241008242300,75,4,43,1,0,2,-1,0,0,0,0
20241008242317,80,3,33,-1,0,3,-1,60,0,0,-1
20241008242317,80,4,34,2,0,4,-1,60,0,0,0
20241009240041,80,4,47,1,0,4,-1,60,0,0,0
20241009240041,70,4,24,12,1,2,2,0,0,0,0
20241009240072,85,4,44,8,0,5,-1,60,0,0,0
20241009240236,67,4,26,4,1,2,2,0,0,0,0
20241009240236,85,4,26,4,1,6,6,0,0,0,0
20241009240292,77,4,47,4,0,6,-1,0,0,0,0
20241009240328,62,1,47,-1,0,7,-1,0,0,0,-1
20241009240517,80,4,20,20,1,2,2,0,0,0,0
20241009240593,78,2,20,-1,1,2,2,0,0,0,-1
20241009240607,76,2,34,-1,0,4,-1,0,0,0,-1
20241009240624,62,1,37,-1,0,2,-1,0,0,0,-1
20241009240627,85,4,33,10,0,3,-1,60,0,0,0
20241009240628,85,2,33,-1,0,3,-1,60,0,0,-1
20241009240661,66,4,33,15,0,5,-1,0,0,0,0
20241009240661,80,4,34,20,0,6,-1,60,0,0,0
20241009240734,63,4,33,5,0,5,-1,0,0,0,0
20241009240734,69,1,44,-1,0,6,-1,0,0,0,-1
20241009240772,85,4,33,5,0,3,-1,60,0,0,0
20241009240774,75,3,24,-1,1,2,2,0,0,0,-1
20241009240774,73,3,24,-1,1,3,3,0,0,0,-1
20241009240816,85,4,34,2,0,3,-1,60,0,0,0
20241009240831,80,1,47,-1,0,3,-1,60,0,0,-1
20241009240832,85,4,39,8,0,3,-1,60,0,0,0
20241009240848,85,3,33,-1,0,3,-1,60,0,0,-1
