age_group,room,activity_code,subcategory,avg_minutes_per_day,avg_hours_per_day,weighted_respondents,unweighted_respondents
18-24,Leisure,120499,"Arts and entertainment, n.e.c.*",0.8955519486866258,0.014925865811443763,10717529189.496117,372
18-24,Leisure,120501,Waiting assoc. w/socializing & communicating,0.022591319077413533,0.0003765219846235589,10717529189.496117,372
18-24,Leisure,120504,Waiting associated with arts & entertainment,0.09609594313837891,0.001601599052306315,10717529189.496117,372
18-24,Leisure,130102,Playing baseball,0.537612528660915,0.00896020881101525,10717529189.496117,372
18-24,Leisure,130103,Playing basketball,0.7302601382186649,0.012171002303644414,10717529189.496117,372
18-24,Leisure,130104,Biking,1.03796868563445,0.017299478093907503,10717529189.496117,372
18-24,Leisure,130105,Playing billiards,0.11558750862407706,0.001926458477067951,10717529189.496117,372
18-24,Leisure,130108,"Climbing, spelunking, caving",0.35814023410486656,0.005969003901747776,10717529189.496117,372
18-24,Leisure,130109,Dancing,0.16212476624253747,0.0027020794373756245,10717529189.496117,372
18-24,Leisure,130112,Fishing,0.5213039642687567,0.008688399404479278,10717529189.496117,372
18-24,Leisure,130114,Golfing,0.46247676397148624,0.007707946066191437,10717529189.496117,372
18-24,Leisure,130116,Hiking,1.1278597914327224,0.018797663190545374,10717529189.496117,372
18-24,Leisure,130118,Hunting,1.5292117833890038,0.025486863056483396,10717529189.496117,372
18-24,Leisure,130119,Participating in martial arts,0.43617013619740036,0.007269502269956673,10717529189.496117,372
18-24,Leisure,130120,Playing racquet sports,0.2897790332995632,0.004829650554992721,10717529189.496117,372
18-24,Leisure,130124,Running,0.5409412494514607,0.009015687490857679,10717529189.496117,372
18-24,Leisure,130128,Using cardiovascular equipment,0.22430991019415789,0.003738498503235965,10717529189.496117,372
18-24,Leisure,130131,Walking,4.748895791127398,0.07914826318545663,10717529189.496117,372
18-24,Leisure,130132,Participating in water sports,0.9546509333365634,0.015910848888942723,10717529189.496117,372
18-24,Leisure,130133,Weightlifting/strength training,4.515105287872312,0.07525175479787187,10717529189.496117,372
18-24,Leisure,130134,"Working out, unspecified",4.143513849929666,0.06905856416549443,10717529189.496117,372
18-24,Leisure,130136,Doing yoga,0.26185703612974676,0.004364283935495779,10717529189.496117,372
18-24,Leisure,130199,Playing sports n.e.c.*,0.7513408517509527,0.012522347529182545,10717529189.496117,372
18-24,Leisure,130203,Watching basketball,0.1783384906539491,0.0029723081775658183,10717529189.496117,372
18-24,Leisure,130204,Watching biking,0.06008753302158042,0.001001458883693007,10717529189.496117,372
18-24,Leisure,130213,Watching football,0.9985824930638412,0.016643041551064018,10717529189.496117,372
18-24,Leisure,130218,Watching racquet sports,1.0311354995010347,0.01718559165835058,10717529189.496117,372
18-24,Leisure,130219,Watching rodeo competitions,0.5710438141108038,0.00951739690184673,10717529189.496117,372
18-24,Leisure,130226,Watching vehicle touring/racing,0.25093335729260474,0.004182222621543412,10717529189.496117,372
18-24,Leisure,130299,"Attending sporting events, n.e.c.*",0.03004376651079021,0.0005007294418465035,10717529189.496117,372
18-24,Leisure,140101,Attending religious services,4.266117311361101,0.07110195518935168,10717529189.496117,372
18-24,Leisure,140102,Participation in religious practices,1.6864771395864304,0.02810795232644051,10717529189.496117,372
18-24,Leisure,140103,Waiting associated w/religious & spiritual activities,0.014837449324990953,0.00024729082208318256,10717529189.496117,372
18-24,Leisure,140105,Religious education activities,0.3663376283277873,0.006105627138796455,10717529189.496117,372
18-24,Leisure,150102,Organizing and preparing,0.9354962808066409,0.015591604680110682,10717529189.496117,372
18-24,Leisure,150201,"Food preparation, presentation, clean-up",0.05740001388569233,0.0009566668980948722,10717529189.496117,372
18-24,Leisure,150204,"Teaching, leading, counseling, mentoring",0.564106797437751,0.009401779957295851,10717529189.496117,372
18-24,Leisure,150402,Serving at volunteer events & cultural activities,0.04742175726019507,0.0007903626210032512,10717529189.496117,372
18-24,Leisure,150501,"Attending meetings, conferences, & training",1.2384382334488668,0.02064063722414778,10717529189.496117,372
18-24,Leisure,159999,"Volunteer activities, n.e.c.*",0.9941585328001872,0.01656930888000312,10717529189.496117,372
18-24,Leisure,160101,Telephone calls to/from family members,1.9431580587094792,0.032385967645157984,10717529189.496117,372
18-24,Leisure,160102,"Telephone calls to/from friends, neighbors, or acquaintances",9.64261195852421,0.16071019930873684,10717529189.496117,372
18-24,Leisure,160105,Telephone calls to/from professional or personal care svcs providers,0.011152081659147257,0.00018586802765245428,10717529189.496117,372
18-24,Leisure,160199,"Telephone calls (to or from), n.e.c.*",0.35503650133026576,0.005917275022171096,10717529189.496117,372
18-24,Leisure,500101,Insufficient detail in verbatim,4.951559960671528,0.08252599934452547,10717529189.496117,372
18-24,Leisure,500103,Missing travel or destination,0.41020880447085617,0.006836813407847603,10717529189.496117,372
18-24,Leisure,500105,"Respondent refused to provide information/""none of your business""",0.019578573866022315,0.00032630956443370523,10717529189.496117,372
18-24,Leisure,500106,Gap/can't remember,1.4177741241674393,0.023629568736123988,10717529189.496117,372
18-24,Caregiving,030101,Physical care for hh children,6.166577500371145,0.10277629167285242,10717529189.496117,372
18-24,Caregiving,030102,Reading to/with hh children,0.009789286933011157,0.00016315478221685261,10717529189.496117,372
18-24,Caregiving,030103,"Playing with hh children, not sports",3.393147283263228,0.056552454721053795,10717529189.496117,372
18-24,Caregiving,030106,Talking with/listening to hh children,0.16704062656611332,0.0027840104427685553,10717529189.496117,372
18-24,Caregiving,030108,Organization & planning for hh children,0.04160717231509543,0.0006934528719182571,10717529189.496117,372
18-24,Caregiving,030109,Looking after hh children (as a primary activity),5.4726961203578375,0.09121160200596395,10717529189.496117,372
18-24,Caregiving,030110,Attending hh children's events,0.5323644748722489,0.008872741247870816,10717529189.496117,372
18-24,Caregiving,030111,Waiting for/with hh children,0.022591319077413533,0.0003765219846235589,10717529189.496117,372
18-24,Caregiving,030112,Picking up/dropping off hh children,1.046621647509402,0.017443694125156697,10717529189.496117,372
18-24,Caregiving,030199,"Caring for & helping hh children, n.e.c.*",0.2288591976337522,0.0038143199605625367,10717529189.496117,372
18-24,Caregiving,030201,Homework (hh children),0.22440375215666555,0.0037400625359444257,10717529189.496117,372
18-24,Caregiving,030302,Obtaining medical care for hh children,0.41768941839619317,0.006961490306603219,10717529189.496117,372
18-24,Caregiving,030401,Physical care for hh adults,0.028927287002587204,0.0004821214500431201,10717529189.496117,372
18-24,Caregiving,030404,Obtaining medical and care services for hh adult,0.0656880457366148,0.0010948007622769132,10717529189.496117,372
18-24,Caregiving,030501,Helping hh adults,0.4022476876954515,0.0067041281282575246,10717529189.496117,372
18-24,Caregiving,030503,Picking up/dropping off hh adult,0.07809724765979079,0.0013016207943298463,10717529189.496117,372
18-24,Caregiving,040101,Physical care for nonhh children,0.19788092116131376,0.0032980153526885624,10717529189.496117,372
18-24,Caregiving,040103,"Playing with nonhh children, not sports",0.26436661962301317,0.00440611032705022,10717529189.496117,372
18-24,Caregiving,040106,Talking with/listening to nonhh children,1.58304736929051,0.0263841228215085,10717529189.496117,372
18-24,Caregiving,040111,Waiting for/with nonhh children,0.01592791477573161,0.00026546524626219347,10717529189.496117,372
18-24,Caregiving,040112,Dropping off/picking up nonhh children,0.004328174472653141,7.213624121088569e-05,10717529189.496117,372
18-24,Caregiving,040401,Physical care for nonhh adults,1.1816882499289534,0.019694804165482558,10717529189.496117,372
18-24,Caregiving,040501,"Housework, cooking, & shopping assistance for nonhh adults",0.042266600182754195,0.0007044433363792365,10717529189.496117,372
18-24,Caregiving,040502,House & lawn maintenance & repair assistance for nonhh adults,0.42951992682430584,0.007158665447071764,10717529189.496117,372
18-24,Caregiving,040503,Animal & pet care assistance for nonhh adults,0.035211683138105604,0.0005868613856350933,10717529189.496117,372
18-24,Caregiving,040504,Vehicle & appliance maintenance/repair assistance for nonhh adults,1.037887390242762,0.017298123170712703,10717529189.496117,372
18-24,Caregiving,040506,Household management & paperwork assistance for nonhh adults,0.18315526745860153,0.003052587790976692,10717529189.496117,372
18-24,Caregiving,040507,Picking up/dropping off nonhh adult,0.3522125542451614,0.005870209237419357,10717529189.496117,372
18-24,Caregiving,040508,Waiting associated with helping nonhh adults,0.6346837320762125,0.01057806220127021,10717529189.496117,372
18-24,Caregiving,049999,"Caring for & helping nonhh members, n.e.c.*",0.025820852161081043,0.0004303475360180174,10717529189.496117,372
18-24,Caregiving,080201,Banking,0.003608801255215374,6.01466875869229e-05,10717529189.496117,372
18-24,Caregiving,080401,Using health and care services outside the home,2.1229567648264345,0.03538261274710724,10717529189.496117,372
18-24,Caregiving,080403,Waiting associated with medical services,0.09647301442179615,0.0016078835736966024,10717529189.496117,372
18-24,Caregiving,080501,Using personal care services,1.2522287743996028,0.020870479573326713,10717529189.496117,372
18-24,Caregiving,080601,Activities rel. to purchasing/selling real estate,0.18420602593847082,0.003070100432307847,10717529189.496117,372
18-24,Travel,180101,Travel related to personal care,1.3423599952636913,0.02237266658772819,10717529189.496117,372
18-24,Travel,180201,Travel related to housework,0.1117973461430858,0.0018632891023847634,10717529189.496117,372
18-24,Travel,180202,"Travel related to food & drink prep., clean-up, & presentation",1.7071386769424384,0.028452311282373972,10717529189.496117,372
18-24,Travel,180206,Travel related to care for animals and pets (not vet care),0.30690047119484604,0.005115007853247434,10717529189.496117,372
18-24,Travel,180207,Travel related to vehicle care & maintenance (by self),0.17960814024321212,0.002993469004053535,10717529189.496117,372
18-24,Travel,180209,Travel related to household management,3.495016717073593,0.05825027861789322,10717529189.496117,372
18-24,Travel,180301,Travel related to caring for & helping hh children,1.2060440199714952,0.020100733666191587,10717529189.496117,372
18-24,Travel,180303,Travel related to hh children's health,0.052393610091487915,0.0008732268348581319,10717529189.496117,372
18-24,Travel,180304,Travel related to caring for hh adults,0.004204034927143346,7.006724878572244e-05,10717529189.496117,372
18-24,Travel,180305,Travel related to helping hh adults,1.0609443907695915,0.017682406512826526,10717529189.496117,372
18-24,Travel,180401,Travel related to caring for and helping nonhh children,0.05199603538117445,0.0008666005896862408,10717529189.496117,372
18-24,Travel,180404,Travel related to caring for nonhh adults,0.06893615027783011,0.001148935837963835,10717529189.496117,372
18-24,Travel,180405,Travel related to helping nonhh adults,1.809504560812943,0.030158409346882385,10717529189.496117,372
18-24,Travel,180499,"Travel rel. to caring for & helping nonhh members, n.e.c.*",0.015492511296648628,0.0002582085216108105,10717529189.496117,372
18-24,Travel,180501,Travel related to working,12.64572166125499,0.21076202768758318,10717529189.496117,372
18-24,Travel,180503,Travel related to income-generating activities,0.09167720929666155,0.0015279534882776924,10717529189.496117,372
18-24,Travel,180601,Travel related to taking class,5.435537235948474,0.0905922872658079,10717529189.496117,372
18-24,Travel,180602,Travel related to extracurricular activities (ex. Sports),0.0366829568371984,0.0006113826139533066,10717529189.496117,372
18-24,Travel,180603,Travel related to research/homework,0.38811416255328207,0.006468569375888035,10717529189.496117,372
18-24,Travel,180604,Travel related to registration/administrative activities,0.037130491904517914,0.0006188415317419652,10717529189.496117,372
18-24,Travel,180701,Travel related to grocery shopping,1.8550268150391345,0.030917113583985575,10717529189.496117,372
18-24,Travel,180702,Travel related to purchasing gas,1.5072774305644723,0.02512129050940787,10717529189.496117,372
18-24,Travel,180703,Travel related to purchasing food (not groceries),3.0437042409925668,0.05072840401654278,10717529189.496117,372
18-24,Travel,180704,"Travel related to shopping, ex groceries, food, and gas",4.465488679468883,0.07442481132448138,10717529189.496117,372
18-24,Travel,180802,Travel related to using financial services and banking,0.010826403765646123,0.00018044006276076872,10717529189.496117,372
18-24,Travel,180804,Travel related to using medical services,1.328996395596468,0.0221499399266078,10717529189.496117,372
18-24,Travel,180805,Travel related to using personal care services,0.5151126872373395,0.008585211453955658,10717529189.496117,372
18-24,Travel,180806,Travel related to using real estate services,0.06140200864615694,0.0010233668107692824,10717529189.496117,372
18-24,Travel,180901,Travel related to using household services,0.056362678069062505,0.0009393779678177084,10717529189.496117,372
18-24,Travel,180905,Travel related to using vehicle maintenance & repair services,0.11118989025230652,0.001853164837538442,10717529189.496117,372
18-24,Travel,181001,Travel related to using government services,0.06987874116981814,0.0011646456861636356,10717529189.496117,372
18-24,Travel,181002,Travel related to civic obligations & participation,0.017967538802983893,0.00029945898004973153,10717529189.496117,372
18-24,Travel,181101,Travel related to eating and drinking,7.326098244855334,0.12210163741425557,10717529189.496117,372
18-24,Travel,181201,Travel related to socializing and communicating,4.946033555447392,0.08243389259078987,10717529189.496117,372
18-24,Travel,181202,Travel related to attending or hosting social events,0.15588985787263196,0.0025981642978771995,10717529189.496117,372
18-24,Travel,181203,Travel related to relaxing and leisure,2.1552063917422393,0.03592010652903732,10717529189.496117,372
18-24,Travel,181204,Travel related to arts and entertainment,1.1100029558773978,0.018500049264623297,10717529189.496117,372
18-24,Travel,181205,Travel as a form of entertainment,1.2925283628688686,0.02154213938114781,10717529189.496117,372
18-24,Travel,181301,Travel related to participating in sports/exercise/recreation,2.670535125887022,0.044508918764783696,10717529189.496117,372
18-24,Travel,181302,Travel related to attending sporting/recreational events,0.6281889328400404,0.010469815547334007,10717529189.496117,372
18-24,Travel,181399,"Travel related to sports, exercise, & recreation, n.e.c.*",0.011097601850736074,0.00018496003084560124,10717529189.496117,372
18-24,Travel,181401,Travel related to religious/spiritual practices,0.8219782622556535,0.013699637704260892,10717529189.496117,372
18-24,Travel,181501,Travel related to volunteering,0.41603140622358586,0.006933856770393098,10717529189.496117,372
18-24,Travel,181601,Travel related to phone calls,0.10664892929203645,0.0017774821548672743,10717529189.496117,372
18-24,Travel,189999,"Traveling, n.e.c.*",1.250067182370295,0.020834453039504916,10717529189.496117,372
25-34,Sleep,010101,Sleeping,536.1258598950952,8.935430998251586,16260255041.726114,1014
25-34,Sleep,010102,Sleeplessness,3.7710838195342395,0.06285139699223732,16260255041.726114,1014
25-34,Sleep,010201,"Washing, dressing and grooming oneself",41.782337903116705,0.6963722983852784,16260255041.726114,1014
25-34,Sleep,010301,Health-related self care,1.8555987893916952,0.030926646489861587,16260255041.726114,1014
25-34,Sleep,010399,"Self care, n.e.c.*",0.33320179978048214,0.005553363329674702,16260255041.726114,1014
25-34,Sleep,010401,Personal/Private activities,0.23933529768821174,0.003988921628136862,16260255041.726114,1014
25-34,Sleep,010501,Personal emergencies,0.02165587741816745,0.0003609312903027908,16260255041.726114,1014
25-34,Work,050101,"Work, main job",255.2650734821009,4.254417891368348,16260255041.726114,1014
25-34,Work,050102,"Work, other job(s)",3.499146353315356,0.05831910588858927,16260255041.726114,1014
25-34,Work,050104,Waiting associated with working,0.47046647089085136,0.007841107848180855,16260255041.726114,1014
25-34,Work,050201,"Socializing, relaxing, and leisure as part of job",0.06937637924709257,0.001156272987451543,16260255041.726114,1014
25-34,Work,050202,Eating and drinking as part of job,0.12096277000861141,0.0020160461668101903,16260255041.726114,1014
25-34,Work,050203,Sports and exercise as part of job,0.11993333405201259,0.0019988889008668766,16260255041.726114,1014
25-34,Work,050301,"Income-generating hobbies, crafts, and food",0.17198316732245286,0.002866386122040881,16260255041.726114,1014
25-34,Work,050303,Income-generating services,0.39355519979326464,0.006559253329887744,16260255041.726114,1014
25-34,Work,050399,"Other income-generating activities, n.e.c.*",0.7032964289772019,0.011721607149620032,16260255041.726114,1014
25-34,Work,050401,Job search activities,1.3037024768289993,0.021728374613816655,16260255041.726114,1014
25-34,Work,050403,Job interviewing,0.35522801562478423,0.005920466927079737,16260255041.726114,1014
25-34,Education,060101,"Taking class for degree, certification, or licensure",4.625776386863539,0.07709627311439231,16260255041.726114,1014
25-34,Education,060102,Taking class for personal interest,0.6830871632944026,0.011384786054906709,16260255041.726114,1014
25-34,Education,060301,"Research/homework for class for degree, certification, or licensure",10.58441763205222,0.17640696053420368,16260255041.726114,1014
25-34,Education,060302,Research/homework for class for pers. interest,0.1297904192415657,0.002163173654026095,16260255041.726114,1014
25-34,Education,060399,Research/homework n.e.c.*,0.6096836162169985,0.010161393603616642,16260255041.726114,1014
25-34,Education,060401,"Administrative activities: class for degree, certification, or licensure",0.11603538898920553,0.001933923149820092,16260255041.726114,1014
25-34,Education,069999,"Education, n.e.c.*",0.16959522724608747,0.0028265871207681244,16260255041.726114,1014
25-34,Household Activities,020101,Interior cleaning,25.267867366379697,0.42113112277299497,16260255041.726114,1014
25-34,Household Activities,020102,Laundry,6.952094344097777,0.11586823906829628,16260255041.726114,1014
25-34,Household Activities,020103,"Sewing, repairing, & maintaining textiles",0.6274592198750749,0.010457653664584583,16260255041.726114,1014
25-34,Household Activities,020104,"Storing interior hh items, inc. food",0.6949978289739679,0.011583297149566131,16260255041.726114,1014
25-34,Household Activities,020199,"Housework, n.e.c.*",0.11938911240407707,0.0019898185400679513,16260255041.726114,1014
25-34,Household Activities,020201,Food and drink preparation,32.97071456178502,0.5495119093630837,16260255041.726114,1014
25-34,Household Activities,020202,Food presentation,0.10770799251529056,0.001795133208588176,16260255041.726114,1014
25-34,Household Activities,020203,Kitchen and food clean-up,6.577654304336621,0.10962757173894368,16260255041.726114,1014
25-34,Household Activities,020301,"Interior arrangement, decoration, & repairs",2.00100302282308,0.03335005038038467,16260255041.726114,1014
25-34,Household Activities,020302,Building and repairing furniture,0.06079622762837813,0.0010132704604729687,16260255041.726114,1014
25-34,Household Activities,020303,Heating and cooling,0.07831043080320696,0.001305173846720116,16260255041.726114,1014
25-34,Household Activities,020401,Exterior cleaning,0.9092412083678256,0.01515402013946376,16260255041.726114,1014
25-34,Household Activities,020402,"Exterior repair, improvements, & decoration",0.6944713946658355,0.011574523244430592,16260255041.726114,1014
25-34,Household Activities,020501,"Lawn, garden, and houseplant care",8.107181249436394,0.13511968749060657,16260255041.726114,1014
25-34,Household Activities,020502,"Ponds, pools, and hot tubs",0.010097630028721266,0.0001682938338120211,16260255041.726114,1014
25-34,Household Activities,020601,Care for animals and pets (not veterinary care),4.083701494174115,0.0680616915695686,16260255041.726114,1014
25-34,Household Activities,020602,Walking / exercising / playing with animals,4.089904862103921,0.06816508103506536,16260255041.726114,1014
25-34,Household Activities,020699,"Pet and animal care, n.e.c.*",0.009334381038338117,0.00015557301730563527,16260255041.726114,1014
25-34,Household Activities,020701,Vehicle repair and maintenance (by self),1.6839883161255267,0.028066471935425445,16260255041.726114,1014
25-34,Household Activities,020799,"Vehicles, n.e.c.*",0.004667190519169058,7.778650865281764e-05,16260255041.726114,1014
25-34,Household Activities,020801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)",0.2882699082812218,0.0048044984713536965,16260255041.726114,1014
25-34,Household Activities,020901,Financial management,0.4263211660682621,0.007105352767804368,16260255041.726114,1014
25-34,Household Activities,020902,Household & personal organization and planning,4.631517869913603,0.07719196449856006,16260255041.726114,1014
25-34,Household Activities,020903,HH & personal mail & messages (except e-mail),0.15030964325831736,0.002505160720971956,16260255041.726114,1014
25-34,Household Activities,020904,HH & personal e-mail and messages,0.5387594229600637,0.008979323716001063,16260255041.726114,1014
25-34,Household Activities,020905,Home security,0.0570862399544193,0.000951437332573655,16260255041.726114,1014
25-34,Household Activities,029999,"Household activities, n.e.c.*",0.010370738087934317,0.00017284563479890528,16260255041.726114,1014
25-34,Household Activities,070101,Grocery shopping,4.766929852627548,0.0794488308771258,16260255041.726114,1014
25-34,Household Activities,070102,Purchasing gas,0.2563662666814789,0.004272771111357982,16260255041.726114,1014
25-34,Household Activities,070103,Purchasing food (not groceries),1.3800127850068122,0.02300021308344687,16260255041.726114,1014
25-34,Household Activities,070104,"Shopping, except groceries, food and gas",7.732745700273488,0.12887909500455813,16260255041.726114,1014
25-34,Household Activities,070105,Waiting associated with shopping,0.6281480820344937,0.010469134700574895,16260255041.726114,1014
25-34,Household Activities,070201,Comparison shopping,0.08085500160605814,0.001347583360100969,16260255041.726114,1014
25-34,Leisure,089999,"Professional and personal services, n.e.c.*",0.004364323960628767,7.273873267714612e-05,16260255041.726114,1014
25-34,Leisure,090103,Using clothing repair and cleaning services,0.06788802605547431,0.0011314671009245718,16260255041.726114,1014
25-34,Leisure,090301,Using pet services,0.032224296807882184,0.000537071613464703,16260255041.726114,1014
25-34,Leisure,090302,Waiting associated with pet services,0.010920702184139887,0.0001820117030689981,16260255041.726114,1014
25-34,Leisure,090501,Using vehicle maintenance or repair services,0.16281368061898924,0.0027135613436498206,16260255041.726114,1014
25-34,Leisure,090502,Waiting associated with vehicle main. or repair svcs,0.002297307017151472,3.8288450285857866e-05,16260255041.726114,1014
